,x,y,theta,v,w
Error_abs,0.5574754556438766,0.9290202453520581,1.7584667659826612,0.31319151206908014,0.009839656628308853
RMSE,32.163460060660675,5.035533150543612,5.2837738053723085,0.5274612391068771,0.12201670355650548
Error_obs,0.6885577131388662,0.6977101979695985,1.9179440021436243,0.30587827209616436,0.0033393205537072994
Error_corr,2.4313777672369437,2.4472798863016028,1.9118953556058844,0.3515065670788646,0.0062791612309254985
