Time,x,y,v_x,v_y
1681996589.2777386,5.636531937302219,1.2185688120630485,1.003198681613648,1.5807090275345643
1681996590.4283888,5.640828624117925,1.882521258758809,0.6843031983938639,1.2305032320382059
1681996591.4205678,5.613858700294597,2.401454769834035,0.49375378736435555,1.0846485956697227
1681996592.4246366,5.521996712532693,3.0639004015651237,0.33829600362251894,0.9451223849515404
1681996593.4433126,5.381569268843622,3.2944355250459094,0.22845265040147808,0.7316595821368377
1681996594.4766343,4.540618039062635,3.112548883794888,-0.05299566834770095,0.4428148490515269
1681996595.5107172,4.277469576629747,3.4314119394449576,-0.107957412642782,0.45338948630780107
1681996596.5237577,4.1008450600620625,3.9886961099077562,-0.13196403219961106,0.4699765641333872
1681996597.5600445,3.9962277619751037,4.1318334309505165,-0.14673903203261765,0.37907620955527105
1681996598.5633984,2.9214611366621135,4.394741071262774,-0.404574368813289,0.3246866064062129
1681996599.6254907,2.735264548424933,4.798391354510099,-0.3408270707594404,0.3396604236613383
1681996600.6402028,2.4152730874692083,5.022361135240393,-0.3688799565342989,0.28592105596455136
1681996601.673177,1.6741621432445535,4.7011668126168,-0.4731511769586692,0.14217133354728903
1681996602.6974235,1.4038344836247374,4.979264887193439,-0.3873091530676669,0.2102948755316559
1681996603.7320986,0.5586052753808389,4.938575837462398,-0.5216583745909256,0.11213155194884572
1681996604.7257202,0.37539827259239433,4.913933663604704,-0.43132000212931537,0.06744953438686754
1681996605.7688348,-0.11419917831009645,5.069385315431335,-0.4466548796688885,0.08411862904144587
1681996606.7966783,-0.6292482079230701,4.813963602169072,-0.4833505328405274,-0.044301733014703304
1681996607.8284729,-1.2860142292689156,4.983702571444918,-0.5288504168131981,-0.016972337798356284
1681996608.8509958,-1.9443665260218368,4.9475889049133315,-0.5491073793449582,-0.006397694467909243
1681996609.887586,-2.3003931538509064,4.928371598903165,-0.4990861915910257,0.004853243081869803
1681996610.9244528,-2.1991774204806323,4.7838678656441935,-0.2903713599077607,-0.057964194947936795
1681996611.974882,-2.6559766952148642,4.533094124413666,-0.34487764921010033,-0.09702645656618113
1681996612.997438,-3.022819095021366,4.306986462980475,-0.3259070367248272,-0.1283414853273905
1681996614.027649,-3.3638964162827665,3.620889913214981,-0.3296008761230606,-0.28743084743469693
1681996615.118382,-4.129441736286782,3.3016734899841222,-0.4266881459299596,-0.32658905263472626
1681996616.1044526,-4.3903472709036295,3.08614521483991,-0.36543856205936864,-0.2617534305190813
1681996617.1547465,-4.365382665913439,2.865676469349306,-0.24097531752706533,-0.2647770103899743
1681996618.545027,-4.639769622870336,2.241661431617618,-0.2916667681781014,-0.3847744551208693
1681996619.3159218,-4.835730669462446,1.803125225232021,-0.303491724906455,-0.3932692201908256
1681996620.5585055,-5.09347934810944,1.5801270702372412,-0.26409774608490927,-0.34598132261116815
1681996621.3533103,-5.234678195726113,0.9992029414345995,-0.2220904037533269,-0.4517377530826538
1681996622.3878987,-5.0948648495106585,0.8598862189639589,-0.11284364386697063,-0.387612064233389
1681996623.4992924,-4.737569250857828,0.15238234021075547,0.014551085773167029,-0.4631569099279967
1681996624.4665706,-4.9123068542118915,-0.5185478845318501,-0.025135350718859834,-0.4964309058922427
1681996625.4798343,-4.940008009433856,-1.0026718456737476,-0.00903618181655046,-0.4611840219551762
1681996626.5191429,-4.7465255417464185,-1.0113186585490608,0.05456793959852697,-0.32867489046112985
1681996627.5477912,-4.642149724633823,-1.2625582260008368,0.06492256192840082,-0.3065310130115707
1681996628.539,-4.753323778302371,-2.1062287604716423,0.012294355200328136,-0.4493972233811992
1681996629.5888386,-4.400527101964887,-2.505873089806523,0.10465768390925129,-0.449918518759098
1681996630.6319013,-4.28981142999406,-2.8742633704431384,0.11720559723256162,-0.3976202098664401
1681996631.6862185,-3.6153804417629707,-3.403444457451167,0.26764341143024156,-0.41973418851095023
1681996632.6851094,-3.1799869437949386,-3.7792578486649235,0.27366889343053863,-0.38233087198795446
1681996633.7334952,-2.951820193160239,-4.272629667486381,0.27093344393096785,-0.43058808713475527
1681996634.7634077,-2.78051516293627,-4.176860616772717,0.24897195401360128,-0.2535312875275562
1681996635.775723,-2.4950534962121433,-4.615861306210994,0.2673744232091222,-0.32978488464792377
1681996636.7924418,-2.0013833337031617,-4.924933427462608,0.35375710299458024,-0.30494905067588157
1681996637.8629048,-1.7476690557192258,-5.169020333722841,0.35850939351527433,-0.2865090039934465
1681996638.851224,-1.098422189711748,-5.044361552659493,0.42362405292352373,-0.16918213739447605
1681996639.857164,-0.5991701781207863,-5.418587916777665,0.42560071722260395,-0.2357854695992321
1681996640.8733096,-0.14692683291220993,-5.3722622795946435,0.44468476416267705,-0.15035209241524816
1681996641.9238386,0.1624813154222344,-5.4524423584927995,0.39301493983413127,-0.12938631632515246
1681996642.944646,0.6750780347017663,-5.046615966414874,0.434881918438318,0.003073008391693527
1681996643.979712,1.2298481855991703,-4.796358800096875,0.45418974089016007,0.0474464301236168
1681996644.987703,1.5740185576275052,-4.812060495337096,0.45740123746244027,0.04226110508129264
1681996646.0169828,2.018834704421129,-4.31688123672275,0.46402233807584053,0.15774671273563837
1681996647.064394,2.327848404952881,-4.9201648562769185,0.40099805537755323,-0.04334540970322156
1681996648.1231751,3.1712102710982664,-4.867969066154991,0.49483263538944455,0.007935057827418757
