Time,data
1685537224.5422347,1.9532780647277832
1685537225.575398,1.965264081954956
1685537225.575401,1.9137539863586426
1685537226.487878,1.9246692657470703
1685537227.0199473,2.2637691497802734
1685537227.735568,1.903796911239624
1685537227.776239,1.9392790794372559
1685537228.8479953,2.11352801322937
1685537228.9393418,1.9626426696777344
1685537229.9533577,2.2203361988067627
1685537229.9829552,1.9662580490112305
1685537230.920599,2.071153163909912
1685537231.1269991,1.9918262958526611
1685537232.0056167,1.9144961833953857
1685537233.137145,2.0176515579223633
1685537233.6236024,1.9571247100830078
1685537234.516786,2.6262199878692627
1685537234.5623643,1.9382965564727783
1685537235.2456992,2.569941759109497
1685537236.005183,1.9582273960113525
1685537236.3208354,2.4542157649993896
1685537236.8674097,1.9499046802520752
1685537237.1706667,2.2965338230133057
1685537238.250803,2.08559513092041
1685537238.2508056,2.1795105934143066
1685537238.9306588,1.9142699241638184
1685537239.2348487,1.951751708984375
1685537239.9975042,2.1461024284362793
1685537239.9975078,1.8839735984802246
1685537241.171926,1.9220960140228271
1685537241.5366037,2.0005040168762207
1685537242.5566509,2.4527828693389893
1685537242.5789294,1.9264471530914307
1685537243.3966727,1.9760665893554688
1685537243.5377073,1.8980298042297363
1685537244.5125928,2.095010995864868
1685537244.8806188,1.9143497943878174
1685537245.8351243,2.109920024871826
1685537246.6933696,2.3875234127044678
1685537246.919041,2.2180869579315186
1685537247.319608,2.29992413520813
1685537248.2160344,2.2942748069763184
1685537248.3281043,2.2074313163757324
1685537249.0452256,2.0361905097961426
1685537249.3472557,1.9466633796691895
1685537250.4173489,2.5776658058166504
1685537250.5324044,2.110738515853882
1685537251.42826,2.347968578338623
1685537251.6862905,2.1313538551330566
1685537252.4544725,2.5259385108947754
1685537252.7729647,2.120382070541382
1685537253.3207054,2.20656418800354
1685537253.981584,2.2094855308532715
1685537254.3604434,2.0151562690734863
1685537254.899214,2.4043219089508057
1685537255.0394714,1.945108413696289
1685537255.8471806,1.9366259574890137
1685537256.1420422,1.9072110652923584
1685537257.3215554,1.9243764877319336
1685537257.4867015,1.9345910549163818
1685537258.4432542,1.9163563251495361
1685537258.7352428,1.9355061054229736
1685537259.3459375,2.013495445251465
1685537259.736541,1.970294713973999
1685537260.5155122,1.9481091499328613
1685537260.8694677,1.930802345275879
1685537261.4756396,1.920499563217163
1685537261.9201007,1.9647810459136963
1685537262.2771738,1.8473358154296875
1685537262.809913,1.9752697944641113
1685537263.4758015,1.9568729400634766
1685537263.8581657,1.9307384490966797
1685537264.8386526,1.9453933238983154
1685537265.2005208,1.9361135959625244
1685537265.742261,2.025186538696289
1685537266.0571651,2.0927324295043945
1685537266.876744,2.0348312854766846
1685537267.2702515,1.933410406112671
1685537267.8185203,1.9292900562286377
1685537268.4877512,1.9413201808929443
1685537269.3082287,1.9519941806793213
1685537269.4263616,1.8809559345245361
1685537270.437972,1.890171766281128
1685537270.6137118,1.9483323097229004
1685537271.5615017,2.0006182193756104
1685537271.5615036,1.9143376350402832
1685537272.374349,1.9144177436828613
1685537273.171499,1.8800795078277588
1685537273.5155337,1.9298701286315918
1685537274.1143014,1.9140541553497314
1685537274.820835,1.8798069953918457
1685537275.1817803,2.031616449356079
1685537276.0849059,1.9286112785339355
1685537276.307798,2.3237619400024414
1685537277.5004666,2.17574143409729
1685537278.005754,2.546682596206665
1685537278.5237887,1.9626305103302002
1685537279.0428436,2.898540735244751
1685537279.9088283,1.9699997901916504
