Time,x,y,v_x,v_y
1682349186.1915984,4.688168246677027,0.33710374897684237,0.45126781606330674,0.008986581077018288
1682349187.265249,5.111684647296962,1.3027737836820026,0.47006019847716296,0.25405203460757453
1682349188.2765892,5.427264899339959,1.88696850814256,0.37417795574265056,0.33991166207717083
1682349189.3359134,5.2509375142961074,2.1975174987748174,0.23025724259137273,0.31878709707546543
1682349190.3348632,4.866027770789419,2.844634776820873,0.057668597215841055,0.41260697181871286
1682349191.3847203,4.095333893759564,3.5366927793888254,-0.14804797641089334,0.47423034993780694
1682349192.434568,3.6836957348910606,4.351408516167456,-0.22683223108969575,0.5690983102322783
1682349193.4894192,3.704000625581361,4.662736218983869,-0.14170305426229876,0.46747740527495374
1682349194.5164502,3.5573903641863267,4.525222775279046,-0.16422423066095929,0.3003229389082879
1682349195.5754335,2.9148997733823494,4.759498927235581,-0.3063941115435165,0.2721303606125429
1682349196.5834107,1.9809662583683398,5.262830076268544,-0.47023223340387926,0.357793215818877
1682349197.6405947,1.2797659680772253,5.1860589257179255,-0.5223299665110012,0.23698069546182568
1682349198.6829345,0.6341837950424152,5.41703128407011,-0.5283161128722818,0.23848461972694043
1682349199.734789,0.4627838025453815,4.924364056508812,-0.40054991793698835,0.009801844527971122
1682349200.688634,0.3319676161091809,5.081290647215237,-0.34944902741003375,0.06388987778465009
1682349201.7472074,-0.2447895751251723,5.244415851342549,-0.4183805558492751,0.09862168038194123
1682349202.7489817,-0.5666049091698917,5.787888325132155,-0.4000264260988318,0.22777414802187695
1682349203.7903116,-1.2063732213133278,5.292723818527906,-0.43891201965459264,-0.016177060094491505
1682349204.7951396,-1.4774034311006208,5.196912315845509,-0.41582411577071876,-0.011517560542705602
1682349205.8366714,-1.8821910141809568,4.5668707084819085,-0.4004724820325612,-0.17524508247556342
1682349206.8285701,-2.8639930585818925,4.385719950452176,-0.5698838992199223,-0.16441092150609554
1682349207.832179,-2.9107966051899807,4.607848384883205,-0.4004695685351247,-0.05384469714444899
1682349208.887508,-3.1987494355935544,4.265728874429122,-0.3627181187143322,-0.14444569042015673
1682349209.9791217,-3.446293018133672,3.8392238565788115,-0.31497749186579393,-0.2101821757136791
1682349210.9863272,-3.910665549737886,3.3219934836758966,-0.3572224224277077,-0.30316839013964497
1682349212.0402553,-4.135154798317616,2.949649620247242,-0.3620563043192538,-0.3192478365856997
1682349213.0496736,-4.25319135629415,2.3576610006996366,-0.3033909775171006,-0.40450650289704027
1682349214.0850794,-4.616260070798729,2.098787911014872,-0.31869336357002337,-0.3397685792117844
1682349215.0985367,-4.665573722269531,1.6350968596350355,-0.25685957339936377,-0.3681587644642949
1682349216.1313417,-5.200028627676005,1.0263351460319396,-0.31291871053062437,-0.4519172720211562
1682349217.148599,-5.554849298061178,0.281156430723954,-0.32493813193936394,-0.5422693285291537
1682349218.183779,-5.5436466505706745,-0.21242159890391446,-0.1883301909633158,-0.4812863906728987
1682349219.1846046,-5.090003762164692,-0.2122397439663231,-0.055914145081798025,-0.3588212138322782
1682349220.237928,-5.2479515032160045,-0.7766708309218766,-0.05956794027399377,-0.45847570284954564
1682349221.306697,-5.033701634453292,-1.312362664563294,0.06649486541928677,-0.49686851468725585
1682349222.3499775,-4.498326794778972,-1.436837693530278,0.14464297420993438,-0.36790203322898096
1682349223.4469051,-4.414709198700684,-2.221638191838227,0.09350206205371187,-0.46649071899475414
1682349224.4359624,-4.110103043716893,-2.7568552908453157,0.13495081755610633,-0.45631491277457076
1682349225.442853,-4.066179273251943,-3.112980376789369,0.12580966469706012,-0.4280646783948384
1682349226.5045247,-3.685035770766043,-3.6777441653787695,0.21646814756169855,-0.46338335971963385
1682349227.5193977,-3.6553679217275508,-3.9138324934512903,0.13721515063280904,-0.39564446463388514
1682349228.5529902,-3.6266455037232554,-4.082556564095413,0.14267338096869064,-0.32109700783136036
1682349229.5348122,-2.843234848893225,-4.068192082089057,0.31491634206303387,-0.21945670356180988
1682349230.5882087,-2.7641551656039973,-4.480540465271476,0.22895516561732307,-0.2503909514767197
1682349231.6457732,-2.6085594402758208,-4.881953594562012,0.23571904413836386,-0.2870554360227453
1682349232.6473973,-1.964684420860785,-4.747291706344649,0.35550461723505894,-0.13754866545816744
1682349233.7000566,-1.275756485543864,-4.991357789660403,0.42197176476632947,-0.18445044994830687
1682349234.778093,-0.3708953105204689,-5.136331144503341,0.5304984493859534,-0.1494458951293236
1682349235.7854087,0.33809029911008653,-5.142222206297214,0.5659645874065268,-0.1143031834534373
1682349236.9194875,0.6770343044095029,-5.246393799490546,0.4957450862065366,-0.07914026467882247
1682349237.8910728,1.6789979145490999,-5.363429097616257,0.6221862001222769,-0.04597960721937745
1682349238.9229288,1.8695782597571704,-5.386092931409099,0.4859684465359226,-0.004638619962867036
1682349240.025163,2.2456336121619507,-4.866418199455091,0.46474096910347684,0.1405015422328024
1682349241.0803804,2.563179435172583,-5.025584015090739,0.4510379672264469,0.043406422121898394
1682349242.0053117,2.831005877163275,-4.795272843394427,0.4188589168243378,0.10341300622626602
1682349243.0505939,3.0935158311372843,-4.253373702496816,0.38579718376418093,0.18874186407760332
1682349244.0475993,3.422213315229157,-3.864352656562705,0.34960080408964833,0.25038091606231966
