,UAV,error_x,error_y,RMSE_x,RMSE_y,euclidean
0,uav1,1.0733063724539642,0.0669518976185223,1.6127918236586438,1.50765272783446,1.7779837503104796
1,uav2,1.4246888522410714,0.12061986760240484,2.086388286285646,1.802109458596707,2.266904542960975
2,uav3,1.5178720501065681,0.038197588846704364,2.0963567425082434,1.8247236281272634,2.362534370868897
3,uav4,1.7044279482014537,0.21091441576494144,2.2696049703224337,1.7893126438659632,2.4567392126345204
4,uav5,1.7563965799309864,0.3383003097185963,2.4222755290204567,1.946460391399321,2.5209028729636276
5,uav6,1.8598185760201733,0.40443683216808535,2.5296356612127706,1.9166984525442057,2.5735807692417962
