,Time,x,y,v_x,v_y,x_target,y_target,error_x,error_y,euclidean
0,1.2873926162719727,0.4303249025585159,3.392558746609989,0.4785230586860567,0.0442646191594342,1.6166666666666674,3.7926842395910247,1.1863417641081515,0.4001254929810356,1.2520012745203408
1,1.3277554512023926,0.6550803593657029,3.846248908579872,0.7002352426880347,0.5426875807035251,1.6333333333333342,3.7884268068522866,0.9782529739676313,-0.057822101727585284,0.9799603443633371
2,1.3708899021148682,0.4520358315595477,3.940189332741365,0.4383677892874595,0.6161757834868276,1.6750000000000007,3.7775940181134664,1.222964168440453,-0.16259531462789845,1.2337254936282196
3,1.424562931060791,0.4731009934239408,4.237409364597581,0.4374374193173618,0.906673910708102,1.725000000000001,3.76425475675145,1.2518990065760602,-0.47315460784613084,1.3383297073562077
4,1.469148874282837,0.4228487012810531,4.051994071364517,0.3597916203629729,0.6582593874944516,1.7750000000000008,3.7505390730506276,1.3521512987189477,-0.301454998313889,1.385347700267252
5,1.5581600666046143,0.2560468203403295,4.041026106144402,0.1639854927713389,0.6117628892956921,1.825000000000001,3.7364483385679383,1.5689531796596716,-0.3045777675764638,1.5982433157895752
6,1.5720767974853516,0.4150595993705578,4.185245161954746,0.3209034355834235,0.7299932090547314,1.8750000000000009,3.721983962365089,1.459940400629443,-0.4632611995896565,1.5316778096046526
7,1.6164495944976807,0.7063460426241794,4.03449244559579,0.6016202885744675,0.539015679950595,1.9250000000000012,3.7071473908676467,1.2186539573758217,-0.3273450547281431,1.2618527064133602
8,1.6750879287719727,0.7364270570529028,4.061443229593319,0.6016202885744675,0.539015679950595,1.975000000000001,3.691940107720396,1.2385729429470982,-0.3695031218729232,1.2925151805973003
9,1.7866597175598145,1.248698414730268,5.021121929743901,1.0281483044860211,1.3820413137531646,2.0750000000000006,3.6604195262578267,0.8263015852697326,-1.3607024034860746,1.591943887413138
10,1.822458028793335,0.9707295670846312,5.174039561578993,0.7210078449382235,1.460198589810264,2.1250000000000004,3.6441093799743864,1.1542704329153692,-1.5299301816046063,1.9165141775857901
11,1.88523530960083,1.2630462070656392,5.414534502658284,0.954423151839658,1.6127491723666856,2.1750000000000003,3.6274348257896967,0.9119537929343611,-1.787099676868587,2.0063362069980135
12,1.9167900085449219,1.0166726718407182,5.365796978740256,0.692792751399947,1.4976555330913175,2.225,3.6103975311452805,1.208327328159282,-1.755399447594976,2.1310753512237186
13,1.9679944515228271,1.0132721974085674,5.360717113457653,0.6597386019192782,1.4281736893125423,2.275,3.592999199756404,1.2617278025914325,-1.767717913701249,2.171815754214087
14,2.0180540084838867,1.4832906131554062,4.866080938388476,1.03070973036775,0.9476904582671896,2.325,3.5752415714417083,0.841709386844594,-1.2908393669467682,1.5410194558025005
15,2.0662708282470703,1.549296884382863,4.93342082583669,1.0427117513467092,0.964241371614688,2.375,3.5571264219492265,0.825703115617137,-1.3762944038874632,1.6049834644979353
16,2.1188066005706787,1.499878873686529,4.919684208736709,0.9603909789554096,0.9140248973483428,2.425,3.5386555627788114,0.9251211263134709,-1.3810286459578975,1.6622542583214546
17,2.1759238243103027,1.182798020082582,4.283786665606344,0.6710465722603385,0.3738534937044875,2.4749999999999996,3.5198308410009886,1.2922019799174176,-0.7639558246053557,1.5011377214802588
18,2.239781141281128,1.4532656894871856,3.828196301846188,0.8546738444591397,0.0062483385934125,2.5666666666666655,3.484410926625537,1.11340097717948,-0.343785375220651,1.1652682610454232
19,2.287065029144287,1.362180330780279,3.705373050455591,0.7531967393737198,-0.0871273883084942,2.583333333333332,3.4778438226680684,1.2211530025530533,-0.22752922778752271,1.2421691531920778
20,2.3271303176879883,1.4755351441947044,3.683840692958625,0.809378822153245,-0.0998756951252481,2.6249999999999987,3.4612525003848225,1.1494648558052942,-0.2225881925738027,1.1708180722062493
21,2.384833335876465,1.513180897044298,3.632088564271269,0.8073270306143367,-0.1338579753281343,2.6749999999999985,3.441031503757171,1.1618191029557006,-0.191057060514098,1.1774236401419313
22,2.4357805252075195,1.490725333961045,3.658638495401216,0.7626015703517081,-0.1101910610565327,2.7249999999999983,3.4204664068466606,1.2342746660389534,-0.2381720885545553,1.2570441102013918
23,2.4863200187683105,1.6274550078029892,3.539850248675465,0.8313972114094798,-0.1892287115030606,2.774999999999998,3.399559266145845,1.147544992197009,-0.14029098252962013,1.1560886942166502
24,2.5237033367156982,1.5341831727577324,3.416000185478174,0.7391513022890601,-0.2674825698504948,2.824999999999998,3.3783121723513707,1.2908168272422655,-0.037688013126803366,1.2913668989970415
25,2.5707600116729736,1.701530823653388,3.043861285645898,0.8266500326856081,-0.5082329445063695,2.874999999999998,3.356727250154912,1.1734691763466099,0.31286596450901394,1.2144607937614729
26,2.6359646320343018,1.893770618182908,3.0958447759156806,0.9260303186547748,-0.4572642288842186,2.924999999999997,3.334806658030702,1.0312293818170892,0.23896188211502123,1.0585541171932633
27,2.672253370285034,2.0308968433926355,3.291230765362956,0.9847557517750648,-0.3161486783634649,2.974999999999997,3.3125525880196847,0.9441031566073614,0.021321822656728884,0.9443438941600613
28,2.7319469451904297,2.078866642637708,3.1434990811712127,0.9839504301874652,-0.3999360784626748,3.0249999999999972,3.2899672655103167,0.9461333573622892,0.14646818433910402,0.9574033940493584
29,2.77451229095459,2.128064164147081,3.123502277248079,0.9839504301874652,-0.3999360784626748,3.074999999999997,3.267052949016028,0.9469358358529161,0.1435506717679491,0.9577548081776933
