Time,x,y,v_x,v_y,x_target,y_target,error_x,error_y,euclidean
0 days 00:00:00.125095844,1.697576075597025,1.3146258097496184,0.7420676018161625,1.3910603298872584,2.342603206,2.342603206,0.6450271304029751,1.0279773962503818,1.2135886972766394
0 days 00:00:00.125103712,1.734679455687833,1.3841788262439814,0.7420676018161625,1.3910603298872584,2.357509612,2.357509612,0.6228301563121668,0.9733307857560185,1.1555475853950223
0 days 00:00:00.144512892,1.7539176230651383,1.3522756326437082,0.7666896928744272,1.350228824345725,2.399877547,2.399877547,0.6459599239348617,1.0476019143562918,1.2307453003334605
0 days 00:00:00.161777020,1.652601547121722,1.4738916373796802,0.637019667730155,1.5058798426586206,2.440842628,2.440842628,0.788241080878278,0.9669509906203198,1.2475248373662842
0 days 00:00:00.185086250,1.783937462754874,1.494609676202565,0.8051107759172509,1.5323959566127758,2.474556764,2.474556764,0.6906193012451258,0.979947087797435,1.1988541671675415
0 days 00:00:00.185088158,1.8241930015507364,1.5712294740332038,0.8051107759172509,1.5323959566127758,2.494767348,2.494767348,0.6705743464492635,0.9235378739667961,1.1413115958260331
0 days 00:00:00.211342335,1.7555820122724473,1.453483477306313,0.7199992858341844,1.3863328064067095,2.5283883413333332,2.5283883413333332,0.772806329060886,1.0749048640270202,1.3238769160860495
0 days 00:00:00.218690872,1.9985618226207211,1.3780135935911677,1.021414174853814,1.2927129019721824,2.5417987506666666,2.5417987506666666,0.5432369280459455,1.163785157075499,1.284329495037017
0 days 00:00:00.237052441,2.049632531363412,1.442649238689777,1.021414174853814,1.2927129019721824,2.571808814666667,2.571808814666667,0.522176283303255,1.12915957597689,1.2440536237898716
0 days 00:00:00.242092371,2.077410423559072,1.2469941860267284,1.054799850219346,1.0575591319948092,2.5884084693333334,2.5884084693333334,0.5109980457742616,1.341414283306605,1.4354481119999032
0 days 00:00:00.289099693,2.1953655042733806,1.4042850148987105,1.1965676274396146,1.2466037331368574,2.6858568186666667,2.6858568186666667,0.4904913143932861,1.2815718037679562,1.3722273928574324
