Time,x,y,v_x,v_y,timestamp.secs,timestamp.nsecs
1685536953.163342,4.997490769161318,0.352026987,-0.014254707937874462,1.0,1685536953,160019159
1685536953.2246206,4.996682183667009,0.40479736299999997,-0.016390666824142905,1.0,1685536953,214861154
1685536953.27536,4.9956585587587865,0.46305852,-0.01874844182407426,1.0,1685536953,271552085
1685536953.3156724,4.994858463855044,0.503931093,-0.020402213140995426,1.0,1685536953,311956405
1685536953.3746696,4.993803680565963,0.5532217500000001,-0.02239622467567427,1.0,1685536953,363234996
1685536953.4372063,4.992303662018702,0.6165740970000001,-0.024958437134098215,1.0,1685536953,428473711
1685536953.4665356,4.991337587902447,0.6541383740000001,-0.026477303055572853,1.0,1685536953,462708711
1685536953.5408437,4.9896448356102665,0.715222168,-0.028946498185257543,1.0,1685536953,524387359
1685536953.60804,4.988469361095921,0.754740524,-0.030543490478311893,1.0,1685536953,565871477
1685536953.6233375,4.986932444101989,0.803487826,-0.03251290303095061,1.0,1685536953,611204624
1685536953.7050495,4.984454104868571,0.8764112470000001,-0.035457861460001495,1.0,1685536953,685465335
1685536953.7147584,4.983370375792447,0.906461048,-0.03667096332469926,1.0,1685536953,714377880
1685536953.7901306,4.981032343028668,0.9681256300000001,-0.039159495162590686,1.0,1685536953,780884504
1685536953.8353486,4.978644737656053,1.02729373,-0.04154614623883303,1.0,1685536953,834975481
1685536953.8858752,4.9769416721093656,1.067501354,-0.0431673244319358,1.0,1685536953,875958681
1685536953.9182563,4.975171373128039,1.107754994,-0.04478979174833084,1.0,1685536953,916771173
1685536953.9756331,4.9728531797069495,1.158360291,-0.04682865735781605,1.0,1685536953,966626882
1685536954.0245607,4.9705946257820495,1.205629635,-0.048732242261028035,1.0,1685536954,13522386
1685536954.0805488,4.967455210139363,1.26842289,-0.0512596211027778,1.0,1685536954,80273389
1685536954.1181006,4.965327363764637,1.309279013,-0.052903173650225885,1.0,1685536954,117655038
1685536954.1757054,4.96264697135337,1.359005261,-0.05490258468878777,1.0,1685536954,166746854
1685536954.219797,4.959796648386614,1.40997057,-0.05695067492039595,1.0,1685536954,219428300
1685536954.2681344,4.956907722410267,1.459821034,-0.058952805151465164,1.0,1685536954,267620801
1685536954.3120487,4.954416647790583,1.501485396,-0.06062525058730668,1.0,1685536954,311521530
1685536954.3612168,4.951357705847527,1.551126528,-0.06261677600155535,1.0,1685536954,359705686
1685536954.4322646,4.9480689671978695,1.602793503,-0.06468824712737709,1.0,1685536954,415145874
1685536954.471795,4.944216297975713,1.66129117,-0.06703188875851397,1.0,1685536954,470152854
1685536954.521532,4.941356022171049,1.703431177,-0.06871903203222995,1.0,1685536954,514529943
1685536954.5824878,4.937959334484586,1.752168226,-0.07066906429909754,1.0,1685536954,567063808
1685536954.6281662,4.9343591797321,1.802398253,-0.07267740936279886,1.0,1685536954,617415904
1685536954.665913,4.930596150475166,1.853458691,-0.07471743415995837,1.0,1685536954,662163734
1685536954.73743,4.9267136056351415,1.904719639,-0.07676388271317217,1.0,1685536954,718852758
1685536954.7866971,4.922846893866469,1.954448509,-0.07874760645473008,1.0,1685536954,772450923
1685536954.8324187,4.918317402895738,2.0111537459999997,-0.08100769585305248,1.0,1685536954,819609642
1685536954.8700597,4.914484393099522,2.0579324249999997,-0.08287055879410964,1.0,1685536954,869067430
1685536954.930614,4.910566416680718,2.104685831,-0.08473094762645286,1.0,1685536954,917359352
1685536954.986338,4.906149413351666,2.1561930659999997,-0.08677876044482169,1.0,1685536954,973373889
1685536955.0157845,4.901767443522455,2.2061183929999997,-0.08876190077927014,1.0,1685536955,15246629
1685536955.0737143,4.897294405840484,2.255956698,-0.09073979705972633,1.0,1685536955,69036960
1685536955.1232533,4.892670243951047,2.3063621999999997,-0.09273834622228085,1.0,1685536955,116461753
1685536955.185273,4.887731825827571,2.359020996,-0.09482419812588698,1.0,1685536955,170802831
1685536955.2214308,4.883108554570705,2.4072909829999998,-0.09673433639951777,1.0,1685536955,218117952
1685536955.29189,4.87719448403096,2.467682886,-0.09912158753771891,1.0,1685536955,276463270
1685536955.323849,4.873226357829658,2.5074015139999997,-0.10069004622786545,1.0,1685536955,315262794
1685536955.3744912,4.868332481056704,2.555550623,-0.10258969108294942,1.0,1685536955,365415334
1685536955.4281545,4.861830440977387,2.6181762699999998,-0.10505759649736665,1.0,1685536955,426199913
1685536955.4760416,4.857640395501667,2.657765913,-0.10661599918737469,1.0,1685536955,465816259
1685536955.5248125,4.85211216372814,2.70913105,-0.10863591100493218,1.0,1685536955,518590688
1685536955.5749438,4.846584376442563,2.759554911,-0.1106165495953706,1.0,1685536955,568243026
1685536955.6153388,4.841834208767828,2.802175331,-0.1122888957463094,1.0,1685536955,610397577
1685536955.6618843,4.836264290513617,2.8513565539999997,-0.11421662081174032,1.0,1685536955,659512519
1685536955.7146406,4.8304339629191615,2.901963759,-0.11619790278660112,1.0,1685536955,711150884
1685536955.7845075,4.822367266487831,2.970593262,-0.11888090246782355,1.0,1685536955,778481960
1685536955.8247826,4.817307666725048,3.012860108,-0.12053103101404142,1.0,1685536955,821298837
1685536955.874644,4.811406339802058,3.0614393239999997,-0.12242544331074222,1.0,1685536955,869597434
1685536955.9253469,4.805036735868197,3.113044071,-0.12443527607697334,1.0,1685536955,921821117
1685536955.9652321,4.800062386287136,3.1527727129999996,-0.12598074777832804,1.0,1685536955,960365295
1685536956.0377703,4.791087078547168,3.2232501989999998,-0.12871839537068788,1.0,1685536956,34243106
1685536956.0750937,4.785905355935319,3.263265181,-0.13027045092667797,1.0,1685536956,72486877
1685536956.13432,4.777996634221242,3.3234367849999997,-0.13260113168182597,1.0,1685536956,131350517
1685536956.1738036,4.773394510929326,3.3579693319999997,-0.13393695990480445,1.0,1685536956,167207717
1685536956.224978,4.765766241594546,3.414463091,-0.13611952195357618,1.0,1685536956,223134040
1685536956.267919,4.760233417471982,3.4548783779999996,-0.13767875751394057,1.0,1685536956,263569831
1685536956.3195052,4.753211868897202,3.505518961,-0.1396299148747704,1.0,1685536956,313184738
1685536956.3927343,4.742808987740253,3.5792727949999996,-0.14246641547067596,1.0,1685536956,390145540
1685536956.4204113,4.738980973100423,3.606045771,-0.14349453169510185,1.0,1685536956,414856910
1685536956.4646142,4.731782528627589,3.655879069,-0.1454059703876533,1.0,1685536956,463617086
1685536956.521045,4.724106185108811,3.7083094599999997,-0.14741386668056394,1.0,1685536956,516277313
1685536956.5656404,4.7169941806080065,3.75625639,-0.14924719022779834,1.0,1685536956,563834667
1685536956.6192536,4.70933411940613,3.807248402,-0.15119389679996362,1.0,1685536956,615350723
1685536956.6672838,4.701693302417316,3.8574669839999998,-0.15310796429001872,1.0,1685536956,665358304
1685536956.739052,4.690878658951588,3.9274917129999998,-0.15577170794672449,1.0,1685536956,736531972
1685536956.7700524,4.686008936680713,3.958635378,-0.15695443283744132,1.0,1685536956,768677234
1685536956.8144865,4.679392754105817,4.000576306,-0.15854524896021965,1.0,1685536956,811801433
1685536956.8781013,4.668434935834488,4.0691297529999995,-0.1611406017241723,1.0,1685536956,877061128
1685536956.9220855,4.661890980706795,4.1095483779999995,-0.16266793513301123,1.0,1685536956,917528390
1685536956.9627607,4.6551258349434566,4.15093832,-0.16422974162075543,1.0,1685536956,958896398
1685536957.0205946,4.645421133269144,4.209635306,-0.16644069876706538,1.0,1685536957,17842292
1685536957.0706708,4.636838574065986,4.260903645,-0.16836804063786898,1.0,1685536957,68888664
1685536957.1198447,4.629954099523592,4.301608372,-0.1698957115234754,1.0,1685536957,117091417
1685536957.170822,4.619795961818033,4.361009645999999,-0.17212097692168538,1.0,1685536957,168824672
1685536957.213103,4.612860014298949,4.401131678,-0.1736212318718634,1.0,1685536957,211478471
1685536957.2629023,4.603722616559815,4.45346551,-0.1755747087856983,1.0,1685536957,261460542
1685536957.3122041,4.595101146871242,4.502316523,-0.17739466774732285,1.0,1685536957,310415983
1685536957.3654578,4.5859922874622825,4.553391028,-0.17929379629152073,1.0,1685536957,362401485
1685536957.4141822,4.577029185574488,4.603126097,-0.18113947956929402,1.0,1685536957,412466287
1685536957.462531,4.567993093940838,4.652758885,-0.1829777490817979,1.0,1685536957,460792779
1685536957.524716,4.556750502781764,4.713824558,-0.18523444962728983,1.0,1685536957,521852016
1685536957.5779552,4.546997620926062,4.766202974,-0.18716565482446593,1.0,1685536957,575311422
1685536957.61777,4.5397769024203205,4.804637003,-0.1885800837247475,1.0,1685536957,614003181
1685536957.6680884,4.529999934304346,4.856222916,-0.19047497163969138,1.0,1685536957,664951801
1685536957.7149682,4.520754053832514,4.904539395,-0.19224604171875898,1.0,1685536957,712745904
1685536957.7661836,4.510885836294548,4.955622244,-0.19411456069169464,1.0,1685536957,764289855
1685536957.8161404,4.501076688934274,5.005917119999999,-0.1959502487538431,1.0,1685536957,813955545
1685536957.8688846,4.4910295980953086,5.0569487099999995,-0.19780872201993094,1.0,1685536957,866822719
1685536957.9327555,4.477921277674409,5.122817803,-0.2002013744975328,1.0,1685536957,930890083
1685536957.9676237,4.471035812966909,5.157104063,-0.20144402187519825,1.0,1685536957,965059280
1685536958.021007,4.460772030038437,5.20782404,-0.20327876046900903,1.0,1685536958,18555641
1685536958.068799,4.450560183836181,5.257837582,-0.2050837970328754,1.0,1685536958,65824747
1685536958.12113,4.440333383526705,5.307487536,-0.2068716014570876,1.0,1685536958,116930007
1685536958.1688085,4.42970870247844,5.358619260999999,-0.20870844393702162,1.0,1685536958,166447162
1685536958.2222197,4.419099537119354,5.409231710999999,-0.2105222795248884,1.0,1685536958,218447685
1685536958.2702203,4.408441051055413,5.459644604,-0.21232462114623563,1.0,1685536958,268308162
1685536958.3198726,4.397722494800966,5.509914208,-0.2141174877389623,1.0,1685536958,317700624
1685536958.3701117,4.3869831554635565,5.559863138,-0.2158945766544404,1.0,1685536958,367974281
1685536958.4121273,4.3780310739787485,5.601187754,-0.21736153227684876,1.0,1685536958,410318136
1685536958.4807303,4.362897290803335,5.670422125,-0.21981248955006494,1.0,1685536958,478857278
1685536958.523737,4.35386666269086,5.711370754,-0.2212580962957607,1.0,1685536958,520626544
1685536958.5632653,4.345041877313257,5.7511294369999995,-0.22265881923605038,1.0,1685536958,559604406
1685536958.6112354,4.33369740372551,5.801876116,-0.22444251198210305,1.0,1685536958,609798908
1685536958.6820273,4.317815557647102,5.872250605,-0.22690834573047156,1.0,1685536958,680202245
1685536958.7133856,4.310921710744732,5.902561474,-0.2279676017135345,1.0,1685536958,710708618
1685536958.7642934,4.299138218766974,5.954047966,-0.22976297714185961,1.0,1685536958,762701272
1685536958.823388,4.285525854256978,6.013029862,-0.23181365799971643,1.0,1685536958,821178674
1685536958.8688138,4.27561924987086,6.055629301,-0.23329069472244998,1.0,1685536958,866698741
1685536958.9133584,4.264337214042298,6.103817511,-0.23495737445750714,1.0,1685536958,911655664
1685536958.9678004,4.252051992569126,6.155905295,-0.2367539571056,1.0,1685536958,965843200
1685536959.0154731,4.240614147468486,6.204047966,-0.23840984120532863,1.0,1685536959,12962579
1685536959.067899,4.228538842936938,6.254514027,-0.24014083358638869,1.0,1685536959,65868377
1685536959.1205785,4.215724966226756,6.307672548,-0.2419588195829459,1.0,1685536959,116908788
1685536959.167752,4.203981652801211,6.356041955999999,-0.243608209897732,1.0,1685536959,164854526
1685536959.2347286,4.189079157133245,6.416956949,-0.24567883120794476,1.0,1685536959,227735519
1685536959.2684414,4.1794003955495125,6.456246424,-0.24701044492655097,1.0,1685536959,266877412
1685536959.3188157,4.166570436797867,6.5080039979999995,-0.24875991526195784,1.0,1685536959,316542148
1685536959.3771803,4.151880540319689,6.5668220999999996,-0.2507414856564604,1.0,1685536959,375183582
1685536959.4193628,4.141295699902972,6.608917523,-0.2521553616330966,1.0,1685536959,416698455
1685536959.4700654,4.128846057086784,6.6581295009999995,-0.25380367396615683,1.0,1685536959,468005180
1685536959.518984,4.116033660510784,6.708444405,-0.2554837801796659,1.0,1685536959,517764568
1685536959.5709121,4.102959908901468,6.759447384,-0.2571815154441951,1.0,1685536959,568064212
1685536959.6378033,4.087585945412987,6.8189971929999995,-0.2591568892095751,1.0,1685536959,627525329
1685536959.6756701,4.07712136005602,6.8592730049999995,-0.260488693544532,1.0,1685536959,672683954
1685536959.7195911,4.064089825100875,6.90914278,-0.26213299780348803,1.0,1685536959,717375993
1685536959.7805238,4.048160875089163,6.969679642,-0.26412191803808804,1.0,1685536959,777879476
1685536959.8197787,4.037474618314843,7.010038185,-0.26544353358549466,1.0,1685536959,818900823
1685536959.8763309,4.023858947349094,7.061171341,-0.26711295231024085,1.0,1685536959,872616291
1685536959.9106798,4.013294036126817,7.100628662,-0.2683973079870032,1.0,1685536959,908443212
1685536959.971847,3.997013112764825,7.161067534,-0.270358055231811,1.0,1685536959,969465017
1685536960.021895,3.98329962272421,7.211638022,-0.2719925097064289,1.0,1685536960,19710063
1685536960.0634573,3.972028594252725,7.252975512,-0.273324367110131,1.0,1685536960,60972690
1685536960.113654,3.9582389703412884,7.303278256,-0.27493997245715196,1.0,1685536960,111211538
1685536960.1740549,3.941750568759904,7.36304121,-0.27685209024823326,1.0,1685536960,171162366
1685536960.213544,3.93055303424668,7.403393316,-0.2781386309815506,1.0,1685536960,211102724
1685536960.2642882,3.9165934277199272,7.453439522,-0.2797291492993226,1.0,1685536960,261386156
1685536960.3256576,3.8995866837008872,7.5140288349999995,-0.2816471408341508,1.0,1685536960,322378635
1685536960.3639176,3.888245110254369,7.554207133999999,-0.28291439464424967,1.0,1685536960,362451314
1685536960.4185324,3.8735048610480676,7.606158543,-0.2845474947010422,1.0,1685536960,415492057
1685536960.4647143,3.8595818358243976,7.654957819,-0.2860758417375581,1.0,1685536960,462924003
1685536960.5173523,3.8449942622101103,7.705808687,-0.2876625712548085,1.0,1685536960,513828754
1685536960.57608,3.827551601753041,7.766247082,-0.28954062713362627,1.0,1685536960,574606895
1685536960.623944,3.814165560284967,7.812365341,-0.29096794108245355,1.0,1685536960,621014833
1685536960.6669586,3.801218472627789,7.85675745,-0.29233709788386664,1.0,1685536960,664566040
1685536960.7401452,3.7807102076554617,7.926653432999999,-0.2944833877121278,1.0,1685536960,736122846
1685536960.7684824,3.7713791828354415,7.958287525,-0.29545094750251083,1.0,1685536960,766191244
1685536960.818408,3.756721164645896,8.007773447,-0.29695971669221877,1.0,1685536960,815650701
1685536960.868884,3.741766889436888,8.058002281,-0.2984851125524048,1.0,1685536960,866268157
1685536960.928276,3.7238297510202383,8.117914248,-0.30029659518861357,1.0,1685536960,925896167
1685536960.9706109,3.711426807047275,8.159131336000002,-0.30153775808850214,1.0,1685536960,967148780
1685536961.0186207,3.6963492534971945,8.209009695,-0.3030341858420976,1.0,1685536961,16974687
1685536961.0814612,3.677998512147344,8.269386578,-0.30483741281476523,1.0,1685536961,77340126
1685536961.135649,3.661886121050672,8.322106648,-0.3064046006431649,1.0,1685536961,132966995
1685536961.1730268,3.6503062986005186,8.359830427,-0.30752176801621506,1.0,1685536961,170860290
1685536961.2203321,3.6348221508249026,8.410060692,-0.30900380296716146,1.0,1685536961,218447446
1685536961.2807138,3.615984965614344,8.470845986,-0.31078881431038247,1.0,1685536961,279030799
1685536961.3229527,3.603380966267207,8.511323738000002,-0.311972321619627,1.0,1685536961,319598436
1685536961.3661094,3.590305938664792,8.553152847,-0.31319099038922793,1.0,1685536961,361064910
1685536961.4108362,3.5749337108195607,8.602124262,-0.31461210498372705,1.0,1685536961,410085678
1685536961.4621994,3.5591638126952416,8.652134228000001,-0.3160570501201412,1.0,1685536961,460031747
1685536961.536413,3.536870239708509,8.722445774,-0.31807773601819517,1.0,1685536961,534578800
1685536961.5655715,3.527023714236343,8.753359127000001,-0.31896212961045584,1.0,1685536961,563677072
1685536961.635161,3.504578178574549,8.823509741,-0.3209598845667457,1.0,1685536961,632506847
1685536961.6751401,3.491455393727747,8.864322233000001,-0.32211626440190244,1.0,1685536961,672929525
1685536961.7140188,3.478507004118949,8.904449511000001,-0.32324899238913773,1.0,1685536961,712493419
1685536961.784533,3.4556144635925334,8.975052881,-0.32523176705233103,1.0,1685536961,783180713
1685536961.8247445,3.44280326404764,9.014377403000001,-0.3263304399669293,1.0,1685536961,823571681
1685536961.875275,3.425979834437261,9.065817881000001,-0.32776144314064276,1.0,1685536961,873733997
1685536961.915028,3.4130381376346772,9.105237293,-0.32885328405767034,1.0,1685536961,913376569
1685536961.9753528,3.3931498099568502,9.165562439,-0.3305161544830106,1.0,1685536961,973493337
1685536962.016068,3.379808229531844,9.205860901000001,-0.3316215618530699,1.0,1685536962,14334440
1685536962.0658762,3.362945297623235,9.256604719,-0.33300728414566183,1.0,1685536962,64355850
1685536962.1167371,3.346045788503755,9.307248163,-0.3343833405060933,1.0,1685536962,115194320
1685536962.1880932,3.3225704850103854,9.377254772,-0.33627407796961784,1.0,1685536962,186336994
1685536962.2169614,3.3122799424835687,9.407819081000001,-0.3370953764429742,1.0,1685536962,216623306
1685536962.2666683,3.2953900154766647,9.45782404,-0.3384335645762154,1.0,1685536962,265366315
1685536962.3293123,3.274801046304916,9.518515158000001,-0.340048515167577,1.0,1685536962,326918840
1685536962.3737445,3.260913771704235,9.559289503,-0.3411277988165553,1.0,1685536962,368935585
1685536962.4301596,3.240337887856337,9.619466829,-0.3427122758487564,1.0,1685536962,428574323
1685536962.4702437,3.2266065569489477,9.659472275,-0.34376006461760195,1.0,1685536962,469085454
1685536962.5133247,3.2112811383492574,9.703978825,-0.3449205052601347,1.0,1685536962,512012004
1685536962.560087,3.1952626297757942,9.750339079000002,-0.3461233934404638,1.0,1685536962,558924198
1685536962.6216419,3.174183666520581,9.811101484,-0.3476908399924724,1.0,1685536962,620002508
1685536962.6627505,3.1601287161603624,9.851465035,-0.34872632626189715,1.0,1685536962,660819053
1685536962.730733,3.1357325623840033,9.921244669,-0.35050558983753416,1.0,1685536962,729047298
1685536962.7617362,3.1250468630900845,9.951697636,-0.35127776052331533,1.0,1685536962,760034799
1685536962.8324804,3.100090204507387,10.022562552,-0.35306439903186293,1.0,1685536962,831079244
1685536962.8728302,3.0859064734624884,10.062678623,-0.3540694395454692,1.0,1685536962,871181011
1685536962.9328146,3.06439541278352,10.123302984,-0.3555795186850639,1.0,1685536962,931077480
1685536962.9681191,3.0537305582378123,10.153264570000001,-0.3563219196025486,1.0,1685536962,962174654
1685536963.032728,3.0285951236469035,10.223634529,-0.3580553780826086,1.0,1685536963,31555891
1685536963.0739033,3.0140110728388647,10.264309216000001,-0.3590507927128392,1.0,1685536963,72671175
1685536963.1230118,2.9961882853254633,10.313864517,-0.36025703552729615,1.0,1685536963,121976137
1685536963.1764686,2.976886967414672,10.367344904000001,-0.36155077964819426,1.0,1685536963,175137758
1685536963.2151206,2.963054394900495,10.405555296000001,-0.3624699988801459,1.0,1685536963,213457345
1685536963.2855322,2.9374891834863943,10.475922394000001,-0.3641515812198178,1.0,1685536963,284163475
1685536963.31459,2.92668965610822,10.505550432000001,-0.36485524529642727,1.0,1685536963,313387870
1685536963.3764434,2.9045278717169443,10.566172648,-0.36628692922843625,1.0,1685536963,375068187
1685536963.4467373,2.878423215802635,10.637279081,-0.36795231525960015,1.0,1685536963,445127725
1685536963.4838333,2.867660438979213,10.666502524,-0.36863239306167844,1.0,1685536963,476449489
1685536963.5156045,2.85280347414088,10.706754494,-0.3695649468459242,1.0,1685536963,514465332
1685536963.5669668,2.8340347063107227,10.757460404000001,-0.3707327919078011,1.0,1685536963,565336942
1685536963.6133058,2.8167018226501064,10.804146099,-0.3718012181562408,1.0,1685536963,611923694
1685536963.677895,2.7926934866921194,10.868592072,-0.37326530916231426,1.0,1685536963,676343917
1685536963.712233,2.7798958944385044,10.902842093,-0.3740382980528598,1.0,1685536963,710765600
1685536963.7683914,2.7587895328948826,10.959175158,-0.3753019458207432,1.0,1685536963,766895532
1685536963.8173492,2.740518247327177,11.007789183,-0.3763846886659191,1.0,1685536963,815629005
1685536963.870533,2.7208349150844535,11.060004759,-0.3775396199809296,1.0,1685536963,867901325
1685536963.9118297,2.705507961595015,11.100553799,-0.37843075459711584,1.0,1685536963,909494161
1685536963.9695933,2.6828692731609864,11.160273361000002,-0.37973401342432045,1.0,1685536963,967939853
1685536964.0215638,2.664990771057477,11.207291889,-0.38075238139825945,1.0,1685536964,15700578
1685536964.075699,2.642579169483101,11.266055632,-0.38201554968013207,1.0,1685536964,73877334
1685536964.1115901,2.628982870175837,11.301611233000001,-0.38277465623184664,1.0,1685536964,109306812
1685536964.1634777,2.6093613920114684,11.352799702,-0.3838606365852427,1.0,1685536964,161921262
1685536964.2329333,2.58237066522568,11.422978449,-0.38533625595548787,1.0,1685536964,231374263
1685536964.2730017,2.5671022949583273,11.462559509,-0.38616173430115974,1.0,1685536964,271312952
1685536964.312646,2.551298308427137,11.503440428000001,-0.38700917718508476,1.0,1685536964,311368465
1685536964.3670866,2.5319275597976176,11.553426314000001,-0.3880382415931347,1.0,1685536964,362011671
1685536964.4143867,2.512534788137886,11.603337097,-0.3890579242233924,1.0,1685536964,412589073
1685536964.4709692,2.492576732861666,11.654567051,-0.3900963931766775,1.0,1685536964,462799310
1685536964.5133917,2.4732423879704664,11.704066801000002,-0.39109191238352625,1.0,1685536964,511877298
1685536964.5776565,2.449298920243242,11.765193510000001,-0.3923105553949471,1.0,1685536964,573031663
1685536964.6261623,2.4295046132418934,11.815585184000001,-0.3933062539641526,1.0,1685536964,624355077
1685536964.6697176,2.4138864245887164,11.85525589,-0.3940844247955114,1.0,1685536964,664608955
1685536964.7255077,2.389909549548135,11.916006613,-0.3952663557581481,1.0,1685536964,723891019
1685536964.7662332,2.3737877202006894,11.956753302000001,-0.3960524814482769,1.0,1685536964,764541149
1685536964.8159947,2.353818123025246,12.007113505000001,-0.3970167200183326,1.0,1685536964,814815759
1685536964.886465,2.325922708517854,12.077258396000001,-0.3983461770714109,1.0,1685536964,885218143
1685536964.9158008,2.313865148907874,12.107505846,-0.39891456151489796,1.0,1685536964,915303707
1685536964.9663486,2.2939192446379653,12.157447863000002,-0.3998465573723809,1.0,1685536964,965325355
1685536965.0271642,2.269665905256174,12.218019533000001,-0.4009660772384531,1.0,1685536965,25871515
1685536965.0775948,2.2494725417138444,12.268323469,-0.4018867671384705,1.0,1685536965,76026439
1685536965.1171234,2.233381392608428,12.308326292,-0.4026130415134594,1.0,1685536965,116197824
1685536965.1744134,2.2124790345926977,12.360182810000001,-0.4035467579154254,1.0,1685536965,169381856
1685536965.218348,2.1927326686837154,12.409061957,-0.4044188174329506,1.0,1685536965,217222452
1685536965.2606049,2.17603600020724,12.450310278,-0.40514864597946865,1.0,1685536965,258854389
1685536965.3207014,2.1517138970703593,12.510264921000001,-0.40619949676452055,1.0,1685536965,319328308
1685536965.3643281,2.1353597666997555,12.550491619,-0.406897939538597,1.0,1685536965,358704328
1685536965.410674,2.114472238942593,12.601769495000001,-0.4077805266574201,1.0,1685536965,409448146
1685536965.4602056,2.0944072595274537,12.650924254000001,-0.4086184181764614,1.0,1685536965,458791255
1685536965.5206852,2.0694445846347813,12.711937714000001,-0.4096473273440446,1.0,1685536965,519752502
1685536965.5613563,2.0529346900393812,12.752207327,-0.41031965488300287,1.0,1685536965,559905767
1685536965.6317062,2.0238782615901787,12.822920609,-0.41148721236063707,1.0,1685536965,630770444
1685536965.6792083,2.007381537537171,12.862979221,-0.41214123409131814,1.0,1685536965,671385526
1685536965.7122736,1.991031736479206,12.902618694000001,-0.4127831395019594,1.0,1685536965,710976600
1685536965.7626002,1.97007648909821,12.953334379000001,-0.41359674669843577,1.0,1685536965,760999917
1685536965.8137438,1.9489662791122697,13.004324961,-0.4144060769189498,1.0,1685536965,812036514
1685536965.8855658,1.9197640636550908,13.074698734,-0.41550872206630973,1.0,1685536965,884645938
1685536965.922953,1.9033214162650123,13.114241886,-0.4161209889560178,1.0,1685536965,922024250
1685536965.9945722,1.873729473503637,13.185262728000001,-0.41720740245949933,1.0,1685536965,993476867
1685536966.0244358,1.8613268383878512,13.214974451000002,-0.41765685130935704,1.0,1685536966,22812366
1685536966.0691032,1.8429027150683974,13.259052563000001,-0.4183181177293515,1.0,1685536966,67407131
1685536966.1152747,1.8231007862153956,13.306349802000002,-0.41902035575701635,1.0,1685536966,114140748
1685536966.171952,1.8019102272482643,13.356876660000001,-0.4197621567230646,1.0,1685536966,167344093
1685536966.2177258,1.7805038537917146,13.407828140000001,-0.42050140168104805,1.0,1685536966,216208934
1685536966.2660089,1.759952222817608,13.456661511,-0.42120161704881287,1.0,1685536966,264402151
1685536966.3363745,1.7302301763035568,13.527142811000001,-0.42219789039000344,1.0,1685536966,335263013
1685536966.3783047,1.7129902157753454,13.567949104,-0.42276693652333935,1.0,1685536966,376653671
1685536966.4286726,1.6915003337401624,13.618738461000001,-0.4234672308806799,1.0,1685536966,426856279
1685536966.4676826,1.6745325397843638,13.658781338,-0.42401311331484426,1.0,1685536966,466512680
1685536966.518082,1.6532645969860702,13.708900023,-0.4246885929667233,1.0,1685536966,516627788
1685536966.5716002,1.6316442731331446,13.759768057,-0.4253653364158975,1.0,1685536966,570524692
1685536966.6185954,1.6103835486956908,13.809711743000001,-0.426021108739146,1.0,1685536966,617425203
1685536966.6714933,1.5888395318675634,13.86024313,-0.4266758376449227,1.0,1685536966,669858217
1685536966.720191,1.5673065642482273,13.910671759000001,-0.42732043723964547,1.0,1685536966,718660593
1685536966.7601955,1.549982298910656,13.951189089000001,-0.4278319699038578,1.0,1685536966,758985042
1685536966.8106217,1.528778277780106,14.000714827000001,-0.42844950637950363,1.0,1685536966,808914661
1685536966.8615036,1.5071306038776646,14.051203776000001,-0.42907029083487974,1.0,1685536966,859828948
1685536966.9108977,1.4853187355107238,14.10200243,-0.42968594212159267,1.0,1685536966,909799337
1685536966.961606,1.4638680165560567,14.151889610000001,-0.4302818058945141,1.0,1685536966,959859132
1685536967.0119405,1.442101073497394,14.202442217000002,-0.4308767693899534,1.0,1685536967,10608434
1685536967.062262,1.420350261527708,14.252888250000002,-0.43146158761827597,1.0,1685536967,60694932
1685536967.1127336,1.3986815207247427,14.303076553,-0.43203459239859865,1.0,1685536967,111013174
1685536967.1629555,1.3768573806977524,14.353558111,-0.43260205316325856,1.0,1685536967,161348104
1685536967.2144773,1.3547199886984802,14.404697228,-0.4331678005034405,1.0,1685536967,212737083
1685536967.2635071,1.3329705257659805,14.454875755000002,-0.4337140020534929,1.0,1685536967,262435674
1685536967.3238852,1.306830331851487,14.515101481,-0.43435788851867163,1.0,1685536967,322952032
1685536967.3640993,1.289499639367211,14.554981756,-0.4347772354994933,1.0,1685536967,362745761
1685536967.4148843,1.2675623551165425,14.605407763,-0.43529945322125135,1.0,1685536967,413183689
1685536967.4655292,1.245669827401543,14.655671168000001,-0.43581106470226455,1.0,1685536967,463662624
1685536967.5148199,1.223753472979177,14.705930758000001,-0.4363137199799112,1.0,1685536967,513885259
1685536967.576208,1.1973158152821275,14.766482639000001,-0.43690745266205966,1.0,1685536967,574617147
1685536967.6160607,1.1795745009183765,14.807071018,-0.43729817330277476,1.0,1685536967,614891767
1685536967.6657975,1.1576389817395247,14.857205200000001,-0.43777272996664873,1.0,1685536967,665046215
1685536967.7173405,1.135317958099873,14.908165264,-0.4382459701874383,1.0,1685536967,716292619
1685536967.7675762,1.113380661974968,14.958196211,-0.43870161426928383,1.0,1685536967,765930175
1685536967.8184123,1.091199034135709,15.008732128,-0.43915282739611333,1.0,1685536967,816554784
1685536967.8683007,1.0692825279159819,15.058613587,-0.4395892884176072,1.0,1685536967,866673946
1685536967.9178557,1.047106643582178,15.10903554,-0.44002147468438985,1.0,1685536967,916876316
