,Time,x,y,v_x,v_y,x_target,y_target,v_x_target,v_y_target,error_x,error_y,euclidean,error_v_x,error_v_y
0,0.29108691215515137,4.34346168464861,0.8471775407753581,0.1086260616033975,0.2554562125258245,4.9696305321994085,0.5501325396165903,-0.04951192856549305,0.44726674789794674,0.6261688475507983,-0.29704500115876786,0.6930535032423595,-0.15813799016889055,0.19181053537212223
1,0.303530216217041,4.34889298772878,0.8599503514016493,0.1086260616033975,0.2554562125258245,4.967104626702035,0.5724902314527363,-0.0515241208307462,0.4470394164031831,0.6182116389732553,-0.2874601199489131,0.6817763204475805,-0.1601501824341437,0.1915832038773586
2,0.3475193977355957,4.832648992188834,0.8167948772991526,0.5897823239819482,0.1946528274659644,4.964478137505707,0.5948363303812583,-0.053535269734313204,0.44680303237551355,0.13182914531687295,-0.2219585469178943,0.25815599955236423,-0.6433175937162614,0.25215020490954915
3,0.40059661865234375,5.10290228355238,0.5423287435779552,0.8244136131323624,-0.0823066700583022,4.961751117796739,0.6171703838944169,-0.055545334550497455,0.4465576006017065,-0.14115116575564102,0.07484164031646168,0.15976521123021453,-0.8799589476828599,0.5288642706600087
4,0.48301005363464355,4.714447356571009,0.7519374201712559,0.4149671433869971,0.1213552085267306,4.956492061010729,0.6580835428176716,-0.059227518853590365,0.44608428549096557,0.24204470443971982,-0.0938538773535843,0.2596039083712203,-0.47419466224058743,0.324729076964235
5,0.4968583583831787,4.87641925635343,0.9581041252768292,0.546495284121929,0.3077167858509208,4.955499358516735,0.6655175489272066,-0.05989657940344854,0.4459949422665061,0.07908010216330474,-0.2925865763496226,0.30308508247380345,-0.6063918635253776,0.13827815641558527
6,0.5646910667419434,4.847764484301789,0.8142484696764083,0.4955534950404274,0.1628058561048891,4.9529674379865085,0.6840957505780478,-0.06156861755202425,0.4457670694187857,0.10520295368471988,-0.13015271909836046,0.1673540909350173,-0.5571221125924517,0.28296121331389656
7,0.5924715995788574,5.032801314863757,0.8162225391030933,0.6380313205059749,0.1573237974114447,4.949838868787916,0.706377102368084,-0.06357393921312755,0.4454854981909125,-0.08296244607584136,-0.10984543673500924,0.1376545946577585,-0.7016052597191025,0.2881617007794678
8,0.6592636108398438,5.064702880889056,0.8240887289736655,0.6380313205059749,0.1573237974114447,4.946610065521378,0.7286441500459357,-0.0655779735041342,0.445194905896924,-0.11809281536767813,-0.09544457892772973,0.1518406424122216,-0.7036092940101091,0.2878711084854793
9,0.7060880661010742,5.371204416677119,0.3610516137838121,0.8765403874551893,-0.2516882939238013,4.9432810935700475,0.7508964427046481,-0.06758067984341831,0.4448952984213042,-0.4279233231070716,0.38984482892083594,0.5788759462055019,-0.9441210672986076,0.6965835923451056
10,0.7457718849182129,5.293718117328071,-0.0453200922380934,0.7763065188535737,-0.5770509501564713,4.9398520203454925,0.7731335297360551,-0.06958201767624494,0.4445866818310943,-0.3538660969825784,0.8184536219741485,0.8916768169669357,-0.8458885365298187,1.0216376319875655
11,0.8176202774047852,5.260979619903528,-0.1328858758692619,0.7184850438534408,-0.6244961565049849,4.936322915286329,0.7953549608399043,-0.07158194647559135,0.4442690623757697,-0.3246567046171993,0.9282408367091662,0.9833783741711186,-0.7900669903290322,1.0687652188807546
12,0.8489727973937988,5.247354439144141,0.207443110990658,0.6793161737397119,-0.3307825566265084,4.9326938498568165,0.8175602860329753,-0.0735804257429677,0.4439424464871134,-0.31466058928732465,0.6101171750423173,0.6864796091161515,-0.7528965994826796,0.7747250031136218
13,0.9002280235290527,5.690202933748865,0.1907084692822312,0.9955909306226512,-0.3309337885227886,4.928964897545402,0.8397490556581917,-0.0755774150092372,0.44360684077908613,-0.761238036203463,0.6490405863759605,1.0003684473863395,-1.0711683456318886,0.7745406293018747
14,0.9530203342437744,5.7399824802799975,0.1741617798560918,0.9955909306226512,-0.3309337885227886,4.925136133863243,0.8619208203937267,-0.07757287383543535,0.44326225204769193,-0.8148463464167541,0.6877590405376349,1.0662959561538161,-1.0731638044580867,0.7741960405704805
15,0.99489426612854,6.15053018280159,0.2191077599490021,1.2626423202260817,-0.2854150736007294,4.921207636342676,0.8840751312621022,-0.07956676181358915,0.4429086872708409,-1.2293225464589135,0.6649673713131001,1.397646424580724,-1.3422090820396708,0.7283237608715702
16,1.0464277267456055,5.578359270380361,0.1701317157816089,0.801914302731204,-0.3105836923026969,4.91717948453564,0.90621153963928,-0.0815590385675352,0.4425461536082076,-0.6611797858447206,0.7360798238576711,0.9894302483247673,-0.8834733412987392,0.7531298459109045
17,1.1203017234802246,5.6798912326345485,-0.1281755313168819,0.8455802766580045,-0.5115689425870752,4.9130517600120704,0.9283295972637471,-0.08354966375373721,0.4421746584010864,-0.7668394726224781,1.056505128580629,1.305467679986407,-0.9291299404117417,0.9537436009881616
18,1.1496925354003906,5.640088158252564,-0.2380866268311195,0.7883813968436274,-0.5703361246154719,4.9088245463582485,0.9504288562455925,-0.08553859706210326,0.44179420917224244,-0.7312636118943159,1.188515483076712,1.3954624765982748,-0.8739199939057307,1.0121303337877143
19,1.2019202709197998,5.637648423564248,-0.0706284625552049,0.7597713271218268,-0.4363892134981426,4.904497929175108,0.9725088690755765,-0.08752579821680184,0.4414048136257597,-0.7331504943891405,1.0431373316307815,1.2750078980401762,-0.8472971253386287,0.8777940271239022
20,1.2465317249298096,5.246635447159022,0.1538669877060664,0.4720571549451264,-0.2711956567602614,4.900071996076496,0.9945691886341944,-0.08951122697707745,0.44100647964688455,-0.3465634510825266,0.840702200928128,0.9093329512734207,-0.5615683819222038,0.712202136407146
