Time,x,y
1681381659.074501,1.209237576,1.209237576
1681381659.274426,1.602622032,1.602622032
1681381659.472986,2.006735802,2.006735802
1681381659.6685164,2.401470184,2.401470184
1681381659.8770728,2.80961895,2.80961895
1681381660.0706408,3.200810434,3.200810434
1681381660.2861485,3.601861,3.601861
1681381660.4836824,4.019899846,4.019899846
1681381660.6805527,4.415697098,4.415697098
1681381660.8737712,4.811634064,4.811634064
1681381661.0883813,5.201066972,5.201066972
1681381661.2857397,5.609619618,5.609619618
1681381661.493974,6.002934934,6.002934934
1681381661.6713927,6.402884484,6.402884484
1681381661.8690038,6.802308084,6.802308084
1681381662.0893238,7.20747614,7.20747614
1681381662.2725594,7.6020002380000005,7.6020002380000005
1681381662.4816797,8.002862454,8.002862454
1681381662.6677234,8.40160799,8.40160799
1681381662.868877,8.80105114,8.80105114
1681381663.0792143,9.210849286,9.210849286
1681381663.2735717,9.609638214,9.609638214
1681381663.4719944,10.001589776,10.001589776
1681381663.6724873,10.402981758,10.402981758
1681381663.8711758,10.804374218,10.804374218
1681381664.0943992,11.201483728,11.201483728
1681381664.2706556,11.601910592,11.601910592
