Time,x,y
1681381659.0746756,-0.7953426703324515,0.7513841887409136
1681381659.2746391,-0.9158063030673536,4.533184749210109
1681381659.473063,3.9679565955586638,0.5918179612175192
1681381659.670558,1.9197995375796497,1.868450630873692
1681381659.8771207,4.8439322128935265,4.192565490189575
1681381660.0706508,2.7660990162184262,5.467231813122833
1681381660.2862444,3.3901843717703155,5.663066691952501
1681381660.483692,5.802366187598283,5.833834739213588
1681381660.6870503,2.504499057214371,1.8674561777670755
1681381660.874835,3.0368935450610377,5.412896832094048
1681381661.0883837,5.695108135032407,4.185136771147942
1681381661.285759,5.342667136640448,8.199172502246787
1681381661.493978,0.8997579320014282,4.127516079470101
1681381661.675923,9.412865725168952,5.743711685776088
1681381661.869011,8.185940391217637,4.862825060380714
1681381662.0893373,7.537884534381154,4.938912893784897
1681381662.2735724,7.257171790607788,7.680181296235509
1681381662.482153,9.226358835279454,6.084745756136233
1681381662.6695402,9.418616591669181,9.818534976956343
1681381662.8704894,6.437700155276426,7.509097749899503
1681381663.0792348,8.43828507017358,9.84081542536156
1681381663.2738636,9.726763044119535,12.35814726002371
1681381663.4728148,11.831921040280093,11.383263048102243
1681381663.6730206,11.726357092358317,9.77023565442207
1681381663.8711848,12.46077194751498,15.948092933585508
1681381664.0944965,11.485793042800601,10.535949416569585
1681381664.2728627,9.204992008138394,14.849557035869601
