,Time,x,y,v_x,v_y,timestamp.secs,timestamp.nsecs,x_target,y_target,v_x_target,v_y_target,Timestamp_sec,Timestamp_nsec,error_x,error_y,euclidean,error_v_x,error_v_y
0,4.192081689834595,3.910012796893351,3.3804025646240143,1.1960509529340542,0.9244926677238756,1685537131.0,950814247.0,4.555707314827622,4.718980241,-0.1854211553352636,1.0,1685537132.0,169047593.5,0.6456945179342708,1.3385776763759853,1.4861734778223243,-1.3814721082693178,0.07550733227612438
1,4.407873868942261,4.052646461859512,3.506742393632241,1.2099981242301845,0.937982529902772,1685537132.0,139729976.0,4.538181790416212,4.812906432249999,-0.18888267890655067,1.0,1685537132.0,268176138.0,0.48553532855670056,1.3061640386177582,1.3934880878769347,-1.3988808031367352,0.06201747009722802
2,4.407885551452637,4.332507532138379,3.8158897155501768,1.2528891247328728,0.9892590971544593,1685537132.0,275065898.0,4.533439018852939,4.8378944875,-0.18980026787423976,1.0,1685537132.0,299692511.0,0.20093148671455996,1.022004771949823,1.0415695926060502,-1.4426893926071127,0.010740902845540745
3,4.407888174057007,4.395151988375023,3.8653526704079,1.2528891247328728,0.9892590971544593,1685537132.0,314808607.0,4.528696247289666,4.86288254275,-0.19071785684192882,1.0,1685537132.0,331208884.0,0.13354425891464317,0.9975298723421004,1.0064292897684906,-1.4436069815748016,0.010740902845540745
4,4.5805418491363525,4.457796444611667,3.9148156252656223,1.2528891247328728,0.9892590971544593,1685537132.0,317128896.0,4.500053180058004,5.009757209,-0.19607844350380674,1.0,1685537132.0,461490630.5,0.04225673544633768,1.0949415837343777,1.095756680783343,-1.4489675682366796,0.010740902845540745
5,4.841553688049316,4.554412831997761,4.103623279920861,1.2622953271464186,1.02784107960886,1685537132.0,547465324.0,4.470848884662425,5.157969641999999,-0.20147480303456228,1.0,1685537132.0,711998104.5,-0.08356394733533534,1.054346362079138,1.0576526766967385,-1.463770130180981,-0.027841079608859953
6,5.009812593460083,4.874102099962611,4.099795925111635,1.5954415897742389,1.2491362378244095,1685537132.0,787387609.0,4.419655116903229,5.402538466999999,-0.21024209609651345,1.0,1685537132.5,464264630.5,-0.45444698305938225,1.3027425418883647,1.3797319271719168,-1.8056836858707523,-0.24913623782440952
7,5.144650220870972,4.953874179451323,4.162252737002855,1.5954415897742389,1.2491362378244095,1685537132.0,902482986.0,4.365499675943056,5.6584573275,-0.21938827137184766,1.0,1685537133.0,99902987.0,-0.588374503508267,1.496204590497145,1.6077352807608998,-1.8148298611460865,-0.24913623782440952
8,5.246508598327637,4.946045890817017,4.129781098803876,1.5775475913037544,1.2297453428188765,1685537133.0,73426008.0,4.339226472050289,5.7766837365,-0.2235517344129217,1.0,1685537133.0,210527419.5,-0.6068194187667286,1.6469026376961242,1.7551404801447779,-1.801099325716676,-0.22974534281887649
9,5.478292942047119,4.944523008416254,4.070347851192694,1.5595911287041024,1.2027391534410763,1685537133.0,159493446.0,4.300125984385072,5.9497008805,-0.22961100820982905,1.0,1685537133.0,379972218.75,-0.644397024031182,1.879353029307306,1.9867600089962532,-1.7892021369139315,-0.2027391534410763
10,5.478296279907227,4.989971275744264,4.258198842478303,1.5517169492491043,1.233652260397308,1685537133.0,312296152.0,4.2968313840141725,5.964018393,-0.2301093208031593,1.0,1685537133.0,399684428.5,-0.693139891730091,1.7058195505216966,1.8412667510302914,-1.7818262700522636,-0.2336522603973079
11,5.576793432235718,5.067557123206719,4.319881455498169,1.5517169492491043,1.233652260397308,1685537133.0,368349552.0,4.2935367836432725,5.9783359055,-0.23060763339648954,1.0,1685537133.0,419396638.25,-0.7740203395634468,1.6584544500018312,1.8301854137733669,-1.7823245826455938,-0.2336522603973079
12,5.577177286148071,5.187790063941232,4.444365561319093,1.5628172402152076,1.249998388344418,1685537133.0,428364753.0,4.26770439077762,6.089462805,-0.23446124043299485,1.0,1685537133.0,544606804.5,-0.9200856731636122,1.6450972436809073,1.8849144774040694,-1.7972784806482025,-0.2499983883444179
13,5.835377216339111,5.265930925951992,4.506865480736314,1.5628172402152076,1.249998388344418,1685537133.0,500694274.0,4.216532659894225,6.304265309,-0.24184151020280403,1.0,1685537133.0,743998408.0,-1.049398266057767,1.7973998282636856,2.081317578710028,-1.8046587504180116,-0.2499983883444179
14,5.835378885269165,5.355491984819566,4.398065406156188,1.5663318212497446,1.1972805834179512,1685537133.0,649601221.0,4.212177395026892,6.32222848,-0.24245439124754845,1.0,1685537133.0,777961969.0,-1.1433145897926744,1.924163073843812,2.23820727055759,-1.808786212497293,-0.19728058341795118
15,5.891702651977539,5.483170694373896,4.439471195167806,1.5822127566112554,1.1913421405833875,1685537133.0,713574409.0,4.207822130159558,6.3401916510000005,-0.24306727229229286,1.0,1685537133.0,811925530.0,-1.2753485642143376,1.9007204558321948,2.2889412861544787,-1.8252800289035482,-0.1913421405833875
16,6.028518915176392,5.488000888471354,4.315441661516259,1.4192977403885694,1.083334843260683,1685537133.0,832148790.0,4.154097803337482,6.557843137,-0.2504374630270213,1.0,1685537133.5,494560599.0,-1.3339030851338718,2.2424014754837405,2.6091496349924657,-1.6697352034155908,-0.08333484326068308
17,6.15917181968689,5.567719559771572,4.411036621990023,1.4214483223560206,1.093512701931271,1685537133.0,968051671.0,4.139873637941503,6.614534108333333,-0.25234341277885525,1.0,1685537134.0,59823035.66666667,-1.4278459218300688,2.20349748634331,2.625670418923145,-1.673791735134876,-0.09351270193127093
