,UAV,error_x,error_y,RMSE_x,RMSE_y,euclidean,error_v_x,error_v_y,RMSE_v_x,RMSE_v_y
0,uav1,-2.0888706245357715,12.1590979179733,4.591337886224453,13.717140109734904,13.059684312073147,-0.07296970572210949,-0.2769703256615171,0.859451423888385,0.31936892702259345
1,uav2,-2.0643475887783067,12.126505190004998,4.432773000874826,13.578878710985542,12.978399945599786,-0.05283321940125944,-0.29281043283907304,0.859451423888385,0.31936892702259345
2,uav3,-1.8858955558848551,12.580774207834079,4.640618674764742,13.923819580495344,13.470670766137166,-0.0016191366503731427,-0.29282830622458383,0.859451423888385,0.31936892702259345
