Time,x,y
1681569610.1398275,3.5833333123669493,3.531289074036674
1681569610.170233,3.371308039152615,0.9960338107311562
1681569610.2139974,4.969694385465923,0.8902400948379383
1681569610.3252656,4.314349270021844,3.290840396151311
1681569610.3832924,2.9201571130479738,3.8724415907278997
1681569610.423727,5.617308454527553,4.412271912633624
1681569610.450931,5.246365446496005,7.223214066793995
1681569610.529949,3.9082203582879433,1.4059680994727595
1681569610.5845401,5.477189283433185,3.127949619757037
1681569610.680905,9.664417187306016,5.226344774503465
1681569610.7241185,6.040881556121627,8.334759087468154
1681569610.7971663,6.4891641826804385,5.054640580797279
1681569610.9041204,2.9481069385178666,4.576979415092501
1681569611.0093544,4.089516876964002,4.078020021839857
1681569611.0541422,5.654472256482399,8.64371167105291
1681569611.2287378,6.339719956087146,7.730826816783729
1681569611.3903255,3.0593490088716795,6.342025603332826
1681569611.427586,7.363542870014296,3.906102129244617
1681569611.5661054,9.549396489454978,4.086487481162587
1681569611.7039967,6.99774078377956,7.989046614848018
1681569611.87285,6.639796571717813,6.996276130915935
1681569611.9936428,3.5147525017362944,4.477275786175556
1681569612.1023717,8.055299298732887,6.4510180292147385
1681569612.1646054,3.8404551705929846,4.232411416898808
1681569612.3347921,11.07214851922221,10.202783728244174
1681569612.4187193,7.616108268690347,6.636991853994567
1681569612.485692,2.6031182852139976,6.986739316513237
1681569612.7135375,3.9273739342047884,9.137651848520575
1681569612.71354,13.19960689112607,4.729745499393305
1681569612.957223,8.198258653957119,12.875870254142159
1681569612.957226,4.958032998543014,10.339605386457352
1681569613.08805,14.983425117682634,7.57733285476464
1681569613.3204725,9.39830955300775,7.621020090374438
1681569613.4104033,12.51578063380949,9.608063231477285
1681569613.4950905,9.252803538436684,8.83122811325616
1681569613.6290357,8.53348260881374,9.9300678405039
1681569613.7441018,9.30595174897802,12.805538712851657
1681569613.8918443,9.556827195077432,9.188485834857813
1681569613.990699,6.771699356941207,8.291270143019725
