Time,data
1685438375.373155,1.9077056694294203
1685438376.1355565,1.8228515839799668
1685438377.0620542,1.8414343875564303
1685438378.3150702,1.845647513841806
1685438379.064543,1.8907366451375431
1685438380.1431384,1.8558157276919844
1685438381.350248,1.8543407462430606
1685438382.298669,1.8461145693013585
1685438383.5056064,1.8805720889108946
1685438384.3807976,1.838592287498855
1685438385.5339835,1.9068803281756317
1685438386.5100112,1.7940568139035606
1685438387.516755,1.831860233371972
1685438388.7168314,1.8642665139330459
1685438389.7544315,1.8816734108791706
1685438390.977631,1.8270488210525413
1685438391.7870886,1.8440662822294676
1685438392.854177,1.8481400580695095
1685438393.9048016,1.8641301976932145
1685438395.0978656,1.786780580989693
1685438396.191994,1.8824554951619268
1685438397.160297,1.8596500018399424
1685438398.198754,1.8594783529433747
1685438399.3278732,1.846901057669921
1685438400.3506336,1.8602652647467741
1685438401.5906088,1.848184024158885
1685438402.5179315,1.8918262910216688
1685438403.6396997,1.8410153558022146
1685438404.952839,1.8439645055649023
1685438405.7898977,1.89077494766567
1685438406.8694637,1.8854985722518973
1685438407.8072972,1.8400811843600593
1685438408.770247,1.789886900389813
1685438409.8509765,1.8727843201027077
1685438410.899361,1.8498145633841212
1685438411.9544528,1.857329012425849
1685438413.1042848,1.8939409672060938
1685438414.309957,1.8818471897610936
1685438415.2873654,1.8531437365231627
1685438416.4208376,1.8348516140145268
1685438417.5063748,1.902654968533207
1685438418.3257337,1.882693352481648
1685438419.4442937,1.8348791565379226
1685438420.6325562,1.939649531249989
1685438421.5596504,1.839774551619771
1685438422.5600457,1.8782638519400412
1685438423.5741148,1.8777758982949513
1685438424.731109,1.9191586193621648
1685438425.7077692,1.8500709657745622
1685438426.8625906,1.7941661843296903
1685438427.8076038,1.8664101184890152
1685438428.8461611,1.8310339002396652
1685438430.032939,1.9030917839435697
1685438430.9689462,1.8907924849182198
1685438432.1200569,1.8451295848029825
