,x,y,v_x,v_y
Error_abs,1.3135952156838722,1.3453076374616901,0.3211253403333278,0.47535176794081657
RMSE,33.15891839498086,1.520112638489099,63.54524417096857,0.5811395183156904
Error_obs,1.7598346614612823,1.7628265320187486,0.18579810517961345,0.3566126635440357
Error_corr,2.5566836932787376,2.561470577824429,0.20449286148387397,0.38117245830623186
